crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	8.690650	1635	1687715584.000000
281474976710655.000000	8.606481	1636	1688713856.000000
281474976710655.000000	8.204959	1637	1689759872.000000
281474976710655.000000	8.371278	1638	1690758144.000000
281474976710655.000000	8.937827	1639	1691803264.000000
281474976710655.000000	8.883822	1640	1692803200.000000
281474976710655.000000	7.949418	1641	1693846400.000000
281474976710655.000000	8.197159	1642	1694848512.000000
281474976710655.000000	8.695805	1643	1695888640.000000
281474976710655.000000	8.565693	1644	1696894592.000000
281474976710655.000000	8.250973	1645	1697930624.000000
281474976710655.000000	8.234053	1646	1698940544.000000
281474976710655.000000	8.656168	1647	1699972480.000000
281474976710655.000000	9.171686	1648	1700987392.000000
281474976710655.000000	8.325944	1649	1702014208.000000
281474976710655.000000	8.738018	1650	1703033472.000000
281474976710655.000000	8.773511	1651	1704056960.000000
281474976710655.000000	8.794830	1652	1705078912.000000
281474976710655.000000	8.972261	1653	1706099968.000000
281474976710655.000000	8.918332	1654	1707122688.000000
281474976710655.000000	8.877210	1655	1708144256.000000
281474976710655.000000	9.858683	1656	1709167104.000000
281474976710655.000000	8.869361	1657	1710189056.000000
281474976710655.000000	8.468296	1658	1711209984.000000
281474976710655.000000	8.455153	1659	1712234112.000000
281474976710655.000000	8.857456	1660	1713253760.000000
281474976710655.000000	9.047511	1661	1714278400.000000
281474976710655.000000	8.025909	1662	1715297280.000000
281474976710655.000000	8.213788	1663	1716323840.000000
281474976710655.000000	8.641665	1664	1717341312.000000
281474976710655.000000	7.983989	1665	1718367104.000000
281474976710655.000000	8.912247	1666	1719385856.000000
281474976710655.000000	8.192991	1667	1720411648.000000
281474976710655.000000	8.634679	1668	1721430528.000000
281474976710655.000000	8.860840	1669	1722455040.000000
281474976710655.000000	8.978018	1670	1723474688.000000
281474976710655.000000	8.172776	1671	1724498048.000000
281474976710655.000000	8.314984	1672	1725520384.000000
281474976710655.000000	9.143534	1673	1726541824.000000
281474976710655.000000	8.886780	1674	1727564416.000000
281474976710655.000000	8.397197	1675	1728585344.000000
281474976710655.000000	8.901953	1676	1729608448.000000
281474976710655.000000	9.134201	1677	1730630528.000000
281474976710655.000000	8.877671	1678	1731651968.000000
281474976710655.000000	8.294386	1679	1732675712.000000
281474976710655.000000	8.539246	1680	1733694080.000000
281474976710655.000000	8.894887	1681	1734722176.000000
281474976710655.000000	8.025466	1682	1735735296.000000
281474976710655.000000	8.556761	1683	1736766848.000000
281474976710655.000000	8.684821	1684	1737778304.000000
281474976710655.000000	8.756406	1685	1738814848.000000
281474976710655.000000	8.301066	1686	1739819264.000000
281474976710655.000000	7.272228	1687	1740859648.000000
281474976710655.000000	9.637692	1688	1741863552.000000
281474976710655.000000	9.210324	1689	1742904704.000000
281474976710655.000000	8.231574	1690	1743907328.000000
281474976710655.000000	9.016315	1691	1744950144.000000
281474976710655.000000	8.322837	1692	1745949952.000000
281474976710655.000000	8.323580	1693	1746993920.000000
281474976710655.000000	8.582580	1694	1747994240.000000
281474976710655.000000	8.163025	1695	1749037440.000000
281474976710655.000000	8.097702	1696	1750039424.000000
281474976710655.000000	8.760330	1697	1751080320.000000
281474976710655.000000	9.091470	1698	1752084480.000000
281474976710655.000000	8.229819	1699	1753123200.000000
281474976710655.000000	8.573122	1700	1754130432.000000
281474976710655.000000	8.811158	1701	1755165184.000000
281474976710655.000000	8.373137	1702	1756176512.000000
281474976710655.000000	8.388421	1703	1757207040.000000
281474976710655.000000	8.255299	1704	1758222592.000000
281474976710655.000000	9.223729	1705	1759249152.000000
281474976710655.000000	9.228164	1706	1760268544.000000
281474976710655.000000	8.821778	1707	1761291776.000000
281474976710655.000000	9.021300	1708	1762313856.000000
281474976710655.000000	9.211939	1709	1763335552.000000
281474976710655.000000	8.670193	1710	1764358272.000000
281474976710655.000000	8.723833	1711	1765379456.000000
281474976710655.000000	9.013769	1712	1766402048.000000
281474976710655.000000	8.515062	1713	1767424128.000000
281474976710655.000000	8.915069	1714	1768446208.000000
281474976710655.000000	8.710394	1715	1769468544.000000
281474976710655.000000	8.573677	1716	1770489344.000000
281474976710655.000000	8.249189	1717	1771513600.000000
281474976710655.000000	8.997664	1718	1772533376.000000
281474976710655.000000	8.576225	1719	1773557504.000000
281474976710655.000000	8.497186	1720	1774577152.000000
281474976710655.000000	8.965703	1721	1775602048.000000
281474976710655.000000	9.020597	1722	1776621696.000000
281474976710655.000000	8.528864	1723	1777645440.000000
281474976710655.000000	8.598220	1724	1778665728.000000
281474976710655.000000	9.193334	1725	1779689088.000000
281474976710655.000000	8.793512	1726	1780710912.000000
281474976710655.000000	8.924431	1727	1781732992.000000
281474976710655.000000	8.848276	1728	1782755072.000000
281474976710655.000000	8.622788	1729	1783776512.000000
281474976710655.000000	8.635341	1730	1784799360.000000
281474976710655.000000	9.148583	1731	1785820800.000000
281474976710655.000000	9.038433	1732	1786843136.000000
281474976710655.000000	8.298079	1733	1787865472.000000
281474976710655.000000	8.676744	1734	1788886016.000000
281474976710655.000000	8.981037	1735	1789910912.000000
281474976710655.000000	8.776084	1736	1790928640.000000
281474976710655.000000	8.857723	1737	1791956608.000000
281474976710655.000000	8.717855	1738	1792970752.000000
281474976710655.000000	8.286171	1739	1794002944.000000
281474976710655.000000	8.367747	1740	1795013248.000000
281474976710655.000000	8.544304	1741	1796048640.000000
281474976710655.000000	8.907334	1742	1797055744.000000
281474976710655.000000	8.633216	1743	1798094464.000000
281474976710655.000000	8.301181	1744	1799098496.000000
281474976710655.000000	8.801585	1745	1800139008.000000
281474976710655.000000	9.007487	1746	1801142272.000000
281474976710655.000000	8.343895	1747	1802183552.000000
281474976710655.000000	8.249847	1748	1803186304.000000
281474976710655.000000	9.030936	1749	1804227456.000000
281474976710655.000000	8.401304	1750	1805230720.000000
281474976710655.000000	8.164142	1751	1806270848.000000
281474976710655.000000	8.575677	1752	1807275136.000000
281474976710655.000000	8.406435	1753	1808313984.000000
281474976710655.000000	8.567414	1754	1809320960.000000
281474976710655.000000	8.576502	1755	1810356480.000000
281474976710655.000000	8.447623	1756	1811366528.000000
281474976710655.000000	8.356357	1757	1812398848.000000
281474976710655.000000	8.409792	1758	1813412480.000000
281474976710655.000000	8.724363	1759	1814441344.000000
281474976710655.000000	9.117077	1760	1815458176.000000
